Leonardo da Vinci,Polimatia rinascimentale: pittore, scienziato, inventore e anatomista.
Winston Churchill,Primo ministro britannico durante la Seconda guerra mondiale, celebre per il suo coraggio e la sua retorica.
Queen Elizabeth I,Regina inglese del XVI secolo, conosciuta come la "Vergine Regina", guidò l'Inghilterra durante l'Età dell'Oro.
Nelson Mandela,Icona della lotta anti-apartheid in Sudafrica, primo presidente nero del paese.
Marie Curie,Scienziata polacco-francese, pioniera nella ricerca sulla radioattività e prima donna a vincere un premio Nobel in due discipline scientifiche.
Abraham Lincoln,16º presidente degli Stati Uniti, guida il paese attraverso la Guerra Civile e abolisce la schiavitù.
Joan of Arc,Eroina francese del XV secolo, guidò le truppe francesi durante la Guerra dei Cent'anni.
George Washington,Primo presidente degli Stati Uniti, comandante dell'esercito continentale durante la Guerra d'Indipendenza americana.
Genghis Khan,Imperatore mongolo del XIII secolo, fondatore dell'Impero mongolo, uno dei più grandi della storia.
Charles Darwin,Naturalista britannico, autore della teoria dell'evoluzione attraverso la selezione naturale.
Elizabeth I,Regina inglese del XVI secolo, nota per aver guidato l'Inghilterra attraverso l'Età dell'Oro e per aver consolidato il protestantesimo.
Martin Luther,Teologo e riformatore tedesco, figura chiave della Riforma Protestante.
Simone de Beauvoir,Scrittrice e filosofa francese, autrice de Il Secondo Sesso, testo fondamentale del femminismo.
Mahatma Gandhi,Leader indiano nella lotta per l'indipendenza dall'Impero britannico, noto per la sua pratica della non violenza.
Vincent van Gogh,Pittore olandese post-impressionista, famoso per le sue opere emotive e il suo stile distintivo.
Benjamin Franklin,Politicamente attivo e inventore americano, contribuì alla Dichiarazione d'Indipendenza e all'invenzione del parafulmine.
Catherine the Great,Imperatrice russa del XVIII secolo, nota per le sue riforme politiche e culturali.
Fidel Castro,Rivoluzionario cubano e leader politico, portò la rivoluzione cubana alla vittoria e divenne presidente di Cuba.
Rosa Parks,Icona del movimento per i diritti civili americani, celebre per il suo rifiuto di cedere il suo posto su un autobus.
Sigmund Freud,Psicoanalista austriaco, fondatore della psicoanalisi e autore di teorie rivoluzionarie sulla mente umana.
Marlon Brando,Iconico attore americano, noto per le sue interpretazioni rivoluzionarie in film come Il padrino.
Che Guevara,Rivoluzionario argentino-cubano, compagno di Fidel Castro e figura chiave nella rivoluzione cubana.
Emily Dickinson,Poetessa americana del XIX secolo, nota per la sua poesia introspettiva e sperimentale.
Mother Teresa,Religiosa cattolica albanese-indiana, nota per il suo lavoro umanitario con i poveri e gli ammalati.
Oscar Wilde,Scrittore e poeta irlandese, celebre per il suo acume e il suo stile decadente.
