Leonardo da Vinci;Michelangelo Buonarroti;Leonardo da Vinci;Isaac Newton;Raphael;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTnmXXUCuXAxeQ7c8oEvfbEFhmwZpk16OKnc1f62-Ky3pgaLUcG;Polimatia rinascimentale: pittore, scienziato, inventore e anatomista.
Winston Churchill;Adolf Hitler;Winston Churchill;Franklin D. Roosevelt;Joseph Stalin;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSb1ofaTfEuBm618q95fm4RpegpXnVEaVgeYsgfIsFeWOFDZ9Ld;Primo ministro britannico durante la Seconda guerra mondiale, celebre per il suo coraggio e la sua retorica.
Queen Elizabeth I;King Henry VIII;Queen Elizabeth I;William Shakespeare;Queen Victoria;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQRtMELirNcnipVF6esgrz92z2VqujoN0PY_yxZJVOvW-22GZsc;"Regina inglese del XVI secolo, conosciuta come la ""Vergine Regina"", guidò l'Inghilterra durante l'Età dell'Oro."
Nelson Mandela;Martin Luther King Jr.;Nelson Mandela;Mahatma Gandhi;Desmond Tutu;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUOIvZF8UIe2Z7KtpjnfGUUVGn-DqOJm-XvbpTNh72SRUfxO2H;Icona della lotta anti-apartheid in Sudafrica, primo presidente nero del paese.
Marie Curie;Albert Einstein;Marie Curie;Isaac Newton;Nikola Tesla;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_xaPaxA4q2Nm007c8DhG_iFRQVnLJyFGHB8g6DZl9Ughnz78_;Scienziata polacco-francese, pioniera nella ricerca sulla radioattività e prima donna a vincere un premio Nobel in due discipline scientifiche.
Abraham Lincoln;George Washington;Abraham Lincoln;Thomas Jefferson;John F. Kennedy;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS5ULQdoAXT86GSrirHo5KFzirhdimvPrFXNHb3t75e3Lz6h_tI;16º presidente degli Stati Uniti, guida il paese attraverso la Guerra Civile e abolisce la schiavitù.
Joan of Arc;William the Conqueror;Joan of Arc;Queen Elizabeth I;Napoleon Bonaparte;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRKX52_M-FmAB_L_QU--iy7A2oU85kpEmqshBuJeS8vXupxkgBY;Eroina francese del XV secolo, guidò le truppe francesi durante la Guerra dei Cent'anni.
George Washington;Thomas Jefferson;George Washington;Abraham Lincoln;Alexander Hamilton;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcThqrOqMKNpGudoB5Qb8U-FFsqUGDceKuK7UewtxntADBCLGk8V;Primo presidente degli Stati Uniti, comandante dell'esercito continentale durante la Guerra d'Indipendenza americana.
Genghis Khan;Alexander the Great;Genghis Khan;Julius Caesar;Attila the Hun;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ-_ojWM2tOoQiVektVyL6FiQUW6KVc_oiKNOriOniju4WSH8im;Imperatore mongolo del XIII secolo, fondatore dell'Impero mongolo, uno dei più grandi della storia.
Charles Darwin;Isaac Newton;Charles Darwin;Galileo Galilei;Albert Einstein;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRzgWOmAVC7qbn_iBg-Hd21reFb2vHh8o6sXgK5dUsgsu53VsO8;Naturalista britannico, autore della teoria dell'evoluzione attraverso la selezione naturale.
Elizabeth I;Queen Victoria;Elizabeth I;Catherine the Great;Mary Queen of Scots;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQRtMELirNcnipVF6esgrz92z2VqujoN0PY_yxZJVOvW-22GZsc;Regina inglese del XVI secolo, nota per aver guidato l'Inghilterra attraverso l'Età dell'Oro e per aver consolidato il protestantesimo.
Martin Luther;John Calvin;Martin Luther;King Henry VIII;John Knox;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuMsqCyBDlHNpxZlzVmEDIfaNsqmfgqVn32G6aM-BVXtoVKYO0;Teologo e riformatore tedesco, figura chiave della Riforma Protestante.
Simone de Beauvoir;Albert Camus;Simone de Beauvoir;Jean-Paul Sartre;Voltaire;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTdIEwBe2S54GGigzGBgqziIDGBwFdiyXt-2Xf-R1teu8Ok-Fim;Scrittrice e filosofa francese, autrice de Il Secondo Sesso, testo fondamentale del femminismo.
Mahatma Gandhi;Nelson Mandela;Mahatma Gandhi;Martin Luther King Jr.;Mother Teresa;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTMqQucrP9UscXVnLX0Us6mBgxB4joydhnuzoYhgXc5Qa8M5pgz5Wljd0j1jcOGqScv4E&usqp=CAU;Leader indiano nella lotta per l'indipendenza dall'Impero britannico, noto per la sua pratica della non violenza.
Vincent van Gogh;Pablo Picasso;Vincent van Gogh;Leonardo da Vinci;Claude Monet;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7d7ASllm8jAxcMy6dan4nvuK-6Iss5xR4itQxWCMxc_41zAsV;Pittore olandese post-impressionista, famoso per le sue opere emotive e il suo stile distintivo.
Benjamin Franklin;Thomas Edison;Benjamin Franklin;James Watt;Steve Jobs;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRDN9mJeT03n42FkE-wgCJx4ryPIG_ObR5jT6ZhQNxOAO2ljQCP;Politicamente attivo e inventore americano, contribuì alla Dichiarazione d'Indipendenza e all'invenzione del parafulmine.
Catherine the Great;Peter the Great;Catherine the Great;Elizabeth I;Napoleon Bonaparte;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQfh_EwRxE9eHVGFW9bk9VSf49VGgCPofwNIOkALedbDC29PcJj;Imperatrice russa del XVIII secolo, nota per le sue riforme politiche e culturali.
Fidel Castro;Che Guevara;Fidel Castro;Hugo Chavez;Mao Zedong;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQXGdQ1dHYSYGklDJo0cnBKDfUeCbEAjxZPh0dKfV1iGY2USEex;Rivoluzionario cubano e leader politico, portò la rivoluzione cubana alla vittoria e divenne presidente di Cuba.
Rosa Parks;Martin Luther King Jr.;Rosa Parks;Harriet Tubman;Malcolm X;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs1djcDhE32CJFwHnUQXVjDV0W9YSZHnWsVvac2PEz2Z-5aRIk;Icona del movimento per i diritti civili americani, celebre per il suo rifiuto di cedere il suo posto su un autobus.
Sigmund Freud;Carl Jung;Sigmund Freud;Albert Einstein;Isaac Newton;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHxfse9G8ivvUiTNEnEwvzdlVZsTbIhr3v-AAd8ODbjtTLkHsG;Psicoanalista austriaco, fondatore della psicoanalisi e autore di teorie rivoluzionarie sulla mente umana.
